device,data,lossTrain,accValid,accTestFinal
Tesla T4,DS1_usuario_afip.csv,"[1.33, 0.54, 0.23, 0.13]","[0.78, 0.87, 0.95, 0.94]",0.888
Tesla T4,DS2-train_usuario.csv,"[1.2, 0.53, 0.25, 0.14]","[0.7, 0.83, 0.86, 0.89]",0.932
